"AptName"	"SeqId"	"SeqIdVersion"	"SomaId"	"TargetFullName"	"Target"	"UniProt"	"EntrezGeneID"	"EntrezGeneSymbol"	"Organism"	"Units"	"Type"	"Dilution"	"PlateScale_Reference"	"CalReference"	"Cal_Example_Adat_Set001"	"ColCheck"	"CalQcRatio_Example_Adat_Set001_170255"	"QcReference_170255"	"Cal_Example_Adat_Set002"	"CalQcRatio_Example_Adat_Set002_170255"	"Dilution2"
"seq.10000.28"	"10000-28"	3	"SL019233"	"Beta-crystallin B2"	"CRBB2"	"P43320"	"1415"	"CRYBB2"	"Human"	"RFU"	"Protein"	"20"	687.4	687.4	1.01252025	"PASS"	1.008	505.4	1.01476233	1.067	0.2
"seq.10001.7"	"10001-7"	3	"SL002564"	"RAF proto-oncogene serine/threonine-protein kinase"	"c-Raf"	"P04049"	"5894"	"RAF1"	"Human"	"RFU"	"Protein"	"20"	227.8	227.8	1.01605709	"PASS"	0.97	223.9	1.03686846	1.007	0.2
"seq.10003.15"	"10003-15"	3	"SL019245"	"Zinc finger protein 41"	"ZNF41"	"P51814"	"7592"	"ZNF41"	"Human"	"RFU"	"Protein"	"0.5"	126.9	126.9	0.9505618	"PASS"	1.046	119.6	1.15258856	0.981	0.005
"seq.10006.25"	"10006-25"	3	"SL019228"	"ETS domain-containing protein Elk-1"	"ELK1"	"P19419"	"2002"	"ELK1"	"Human"	"RFU"	"Protein"	"20"	634.2	634.2	0.9960735	"PASS"	1.042	667.2	0.93581231	1.026	0.2
"seq.10008.43"	"10008-43"	3	"SL019234"	"Guanylyl cyclase-activating protein 1"	"GUC1A"	"P43080"	"2978"	"GUCA1A"	"Human"	"RFU"	"Protein"	"20"	585	585	0.94051447	"PASS"	1.036	587.5	0.96201283	0.998	0.2
"seq.10011.65"	"10011-65"	3	"SL019246"	"Inositol polyphosphate 5-phosphatase OCRL-1"	"OCRL"	"Q01968"	"4952"	"OCRL"	"Human"	"RFU"	"Protein"	"20"	2807.1	2807.1	1.05383489	"PASS"	0.975	2617.6	1.03133955	1.013	0.2
"seq.10012.5"	"10012-5"	3	"SL014669"	"SAM pointed domain-containing Ets transcription factor"	"SPDEF"	"O95238"	"25803"	"SPDEF"	"Human"	"RFU"	"Protein"	"20"	1623.3	1623.3	1.17290462	"PASS"	1.01	1340.6	1.21250373	1.078	0.2
"seq.10013.34"	"10013-34"	3	"SL025418"	"Fc_MOUSE"	"Fc_MOUSE"	"Q99LC4"	""	""	"Mouse"	"RFU"	"Protein"	"20"	499.6	499.6	1.07095391	"PASS"	0.953	443	1.18192572	0.996	0.2
"seq.10014.31"	"10014-31"	3	"SL007803"	"Zinc finger protein SNAI2"	"SLUG"	"O43623"	"6591"	"SNAI2"	"Human"	"RFU"	"Protein"	"20"	857.2	857.2	1.03464092	"PASS"	0.978	1289.4	0.98926717	0.971	0.2
"seq.10015.119"	"10015-119"	3	"SL014924"	"Voltage-gated potassium channel subunit beta-2"	"KCAB2"	"Q13303"	"8514"	"KCNAB2"	"Human"	"RFU"	"Protein"	"20"	443.3	443.3	1.07466667	"PASS"	0.975	441.5	1.13173347	0.941	0.2
